id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
0.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.csv_Day7_7h00m,0.06127234265803262,0.130906544089607,0.18727783963780137,0.22973041089503785,0.271084269763056,0.32511450603205855,0.37737727899034257,0.4250864870966611,0.47372495956759336
0.csv_Day7_7h30m,0.06127234265803262,0.130906544089607,0.18727783963780137,0.22973041089503785,0.271084269763056,0.32511450603205855,0.37737727899034257,0.4250864870966611,0.47372495956759336
0.csv_Day7_8h00m,0.9292807430643297,1.9853807653888624,2.840330276735113,3.4841828740332557,4.11137196180696,4.930816036080784,5.723454058105384,6.447030902677658,7.184701340571001
0.csv_Day7_8h30m,0.9292807430643297,1.9853807653888624,2.840330276735113,3.4841828740332557,4.11137196180696,4.930816036080784,5.723454058105384,6.447030902677658,7.184701340571001
0.csv_Day7_9h00m,2.986909169235686,6.38144291359069,9.129435437629152,11.1989168520018,13.214838144999218,15.848708519901514,18.396418448833316,20.722150826083208,23.09318305855163
0.csv_Day7_9h30m,2.986909169235686,6.38144291359069,9.129435437629152,11.1989168520018,13.214838144999218,15.848708519901514,18.396418448833316,20.722150826083208,23.09318305855163
0.csv_Day7_10h00m,2.9409960906555157,6.283350981983163,8.989102918998288,11.026773435410954,13.011707126344627,15.605091135361274,18.113639108057072,20.403621642461747,22.73820770832869
0.csv_Day7_10h30m,2.9409960906555157,6.283350981983163,8.989102918998288,11.026773435410954,13.011707126344627,15.605091135361274,18.113639108057072,20.403621642461747,22.73820770832869
0.csv_Day7_11h00m,4.738199841824616,10.123023530549938,14.482224632760243,17.765088608415923,20.962988983155284,25.141155605122577,29.182644012809455,32.8720045382357,36.63322522233092
0.csv_Day7_11h30m,4.738199841824616,10.123023530549938,14.482224632760243,17.765088608415923,20.962988983155284,25.141155605122577,29.182644012809455,32.8720045382357,36.63322522233092
0.csv_Day7_12h00m,6.014615750172303,12.850048288120346,18.38356744788335,22.550796782399626,26.610174310465744,31.913890407347687,37.04410876927554,41.72734009447594,46.50178986899652
